10.1126/sciadv.1400005	200
10.1146/annurev.soc.32.061604.123127	200
10.1073/pnas.1914221117	200
10.1093/scipol/scu084	200
10.1038/s41467-019-13130-4	200
10.1126/science.159.3810.56	200
10.1371/journal.pbio.2004089	200
10.1016/j.joi.2023.101460	200
10.1089/whr.2021.0082	200
10.1093/scipol/scv052	200
10.1620/tjem.234.221	200
10.1007/s10734-020-00626-3	404
10.12688/f1000research.16493.1	200
10.1016/j.asieco.2015.09.002	200
10.1038/s41586-022-05222-x	200
10.1111/gwao.13224	200
10.1177/089124390004002002	200
10.2307/2095350	404
10.1093/icc/dtv034	200
10.1093/scipol/scv042	200
10.1111/j.1467-9531.2010.01227.x	200
10.1177/0049124100029001001	200
10.1086/229901	200
10.1111/j.1467-985X.2006.00450.x	200
10.1073/pnas.1719557115	200
10.1038/s41467-019-12189-3	200
10.2964/jsik_2025_003	200
10.2964/jsik_2023_019	200
